x,y
0.38312,0.47689
0.91019,0.34771
0.65022,0.89287
0.95182,0.95146
0.83881,0.28427
0.07264,0.04872
0.29379,0.13826
0.55739,0.28339
0.70598,0.15524
0.15418,0.98829
0.54823,0.46223
0.04388,0.77874
0.78614,0.83258
0.46974,0.20680
0.70906,0.14991
0.93749,0.60224
0.84236,0.84418
0.08789,0.88479
0.11965,0.09179
0.22615,0.55437
0.82851,0.60868
0.90489,0.83905
0.45350,0.14850
0.17371,0.94504
0.05878,0.07970
0.96925,0.62751
0.55694,0.94613
0.61356,0.80151
0.28642,0.57857
0.29799,0.75343
0.24857,0.74377
0.55458,0.62113
0.98904,0.45797
0.61704,0.23702
0.90052,0.55071
0.53765,0.66457
0.46521,0.40985
0.50844,0.34773
0.77747,0.97870
0.15433,0.04280
0.74155,0.97113
0.13589,0.76471
0.12570,0.66407
0.92182,0.03437
0.03633,0.14507
0.72141,0.70491
0.17405,0.53484
0.74138,0.16166
0.30610,0.37070
0.72574,0.20654
0.63536,0.54686
0.87177,0.47596
0.99176,0.04725
0.10727,0.20157
0.66257,0.50941
0.20937,0.74773
0.02937,0.80180
0.04611,0.03697
0.61681,0.46188
0.18637,0.94633
0.02243,0.72194
0.64945,0.13449
0.50812,0.71102
0.17397,0.14033
0.89021,0.43149
0.77807,0.02001
0.19749,0.82527
0.82390,0.75259
0.35218,0.90563
0.66332,0.36176
0.36869,0.84769
0.37911,0.17158
0.53600,0.38765
0.32317,0.78483
0.17403,0.20060
0.70525,0.03807
0.96429,0.03591
0.84829,0.10221
0.24529,0.91718
0.51514,0.26414
0.32541,0.98252
0.41305,0.33597
0.82156,0.57860
0.75261,0.49800
0.58889,0.04366
0.89168,0.36145
0.29915,0.54906
0.16465,0.80985
0.60195,0.30916
0.93899,0.55004
0.34169,0.43123
0.36365,0.13688
0.40942,0.27296
0.49626,0.78412
0.55496,0.85625
0.61959,0.23098
0.53576,0.61914
0.18525,0.68571
0.61113,0.73448
0.33949,0.12905
